response_id,run,started,"Trust1","Trust2","Understanding1","Understanding2","Understanding3","Understanding4","MentalLoad","PerceivedSafety1","PerceivedSafety2","PerceivedSafety3","PerceivedSafety4","Aesthetics1","Acceptance1","Acceptance2","TimeToCross"
1,0,06.09.2024 08:26:26,5,4,5,3,5,3,2,2,1,2,1,7,4,4,"5,2"
1,1,06.09.2024 08:29:36,4,4,5,3,4,3,3,0,1,1,0,7,4,4,"5,59"
1,2,06.09.2024 08:32:33,4,4,4,3,4,3,3,2,2,1,0,5,4,5,"4,99"
1,3,06.09.2024 08:34:37,4,4,4,3,4,2,3,2,2,2,3,5,5,4,"4,67"
1,4,06.09.2024 08:36:31,4,4,4,3,4,3,2,2,3,3,3,5,6,4,"4,58"
1,5,06.09.2024 08:38:33,4,4,4,3,4,3,2,2,2,2,3,5,5,4,"4,87"
1,6,06.09.2024 08:40:51,4,4,5,3,4,3,2,2,2,3,3,5,4,4,"3,54"
1,7,06.09.2024 08:42:54,4,4,4,3,4,3,2,2,2,3,3,5,5,4,"4,04"
1,8,06.09.2024 08:44:50,4,4,4,3,3,2,2,3,3,3,3,5,5,4,"4,11"
1,9,06.09.2024 08:46:58,4,4,4,3,4,2,2,3,3,3,3,5,5,4,"4,51"
1,10,06.09.2024 08:48:52,4,4,5,3,4,2,2,3,3,3,3,5,5,4,"4,69"
1,11,06.09.2024 08:51:09,4,4,4,3,4,2,2,3,3,3,3,6,5,4,"4,17"
1,12,06.09.2024 08:52:53,4,4,4,3,4,3,2,3,3,3,3,6,6,5,"4,07"
1,13,06.09.2024 08:54:52,4,4,4,3,4,3,2,3,3,3,3,5,5,4,"3,88"
1,14,06.09.2024 08:56:43,4,4,4,3,4,2,2,3,3,3,3,5,5,5,"3,54"
1,15,06.09.2024 08:58:37,4,4,4,3,4,2,2,3,3,3,3,5,5,4,"3,14"
1,16,06.09.2024 09:00:50,4,4,4,3,3,2,2,3,3,3,3,5,5,4,"3,38"
1,17,06.09.2024 09:02:57,4,4,4,3,4,3,2,3,3,3,3,5,5,4,"3,36"
1,18,06.09.2024 09:04:59,4,4,4,3,3,2,2,3,3,3,3,6,5,5,"3,72"
1,19,06.09.2024 09:07:23,4,4,4,3,4,3,2,3,3,3,3,6,5,5,"3,74"
